MovingPlate	FixedPlate	EndChron	EndAge	RotLat	RotLong	RotAng	Kappahat	a	b	c	d	e	f	Points	Segs	Plates	DOF	Source
701	1	None	0	46.19	-87.86	0	1	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	36	10	2	13	 O'Neill et al 2005 moving
701	1	None	10	46.19	-87.86	-1.92	0.92	9.94E-05	-3.80E-06	-1.18E-06	2.84E-05	-2.30E-05	8.68E-05	36	10	2	13	 O'Neill et al 2005 moving
701	1	None	30	43.54	-69.67	-6.05	3.31	9.89E-05	2.14E-05	-3.56E-05	8.19E-05	-6.45E-05	1.18E-04	36	10	2	13	 O'Neill et al 2005 moving
701	1	None	40	44.56	-54.31	-8.08	0.6	6.39E-04	-9.58E-05	-3.09E-04	1.54E-04	-2.27E-05	3.49E-04	36	10	2	13	 O'Neill et al 2005 moving
701	1	None	50	36.97	-58.9	-10.26	1.24	7.60E-04	-1.29E-04	-4.44E-04	1.65E-04	-1.35E-05	4.53E-04	36	10	2	13	 O'Neill et al 2005 moving
701	1	None	60	23.73	-42.14	-12.53	2.31	1.61E-03	8.69E-05	-6.22E-04	6.07E-04	-2.63E-04	7.51E-04	36	10	2	13	 O'Neill et al 2005 moving
701	1	None	90	14.6	-33.26	-16.24	2.47	5.47E-04	-9.38E-05	5.78E-06	1.18E-04	-7.96E-05	5.36E-04	36	10	2	13	 O'Neill et al 2005 moving
701	1	None	100	14.4	-29.63	-20.08	3.25	2.41E-04	-1.79E-05	1.48E-05	3.16E-04	-1.69E-05	1.92E-04	36	10	2	13	 O'Neill et al 2005 moving
701	1	None	120	17.03	-27	-29.72	9.06	7.81E-04	3.73E-04	4.38E-04	6.44E-04	4.17E-04	5.87E-04	36	10	2	13	 O'Neill et al 2005 moving
701	1	None	120	22.49	-37.22	-30.63	66.18	1.11E-03	1.69E-04	1.46E-03	9.99E-04	1.31E-03	4.19E-03	36	10	2	13	O'Neill et al 2005
